created_at,iso,provider_id,measurements
2013-12-19 02:32:00,IT,7859,2
2013-12-19 02:32:00,IT,8423,2
2013-12-19 02:32:00,IT,8593,1
2013-12-19 02:32:00,IT,10077,1
2013-12-19 02:32:00,JM,7845,1
2013-12-19 02:32:00,JM,8423,1
2013-12-19 02:32:00,JM,8593,1
2013-12-19 02:32:00,JM,10052,1
2013-12-19 02:32:00,NO,7844,2
2013-12-19 02:32:00,NO,7845,2
2013-12-19 02:32:00,NO,7859,2
2013-12-19 02:32:00,NO,8423,3
2013-12-19 02:32:00,NO,8506,1
2013-12-19 02:32:00,NO,8593,2
2013-12-19 02:32:00,NO,10052,4
2013-12-19 02:32:00,NO,10077,2
2013-12-19 02:32:00,PE,10077,1
2013-12-19 02:32:00,RU,7844,2
2013-12-19 02:32:00,RU,7845,3
2013-12-19 02:32:00,RU,7859,1
2013-12-19 02:32:00,RU,8423,1
2013-12-19 02:32:00,RU,8506,2
2013-12-19 02:32:00,RU,10052,1
2013-12-19 02:32:00,RU,10077,3
2013-12-19 02:32:00,SI,8593,1
2013-12-19 02:32:00,SI,10052,1
2013-12-19 02:32:00,SI,10077,1
2013-12-19 02:32:00,US,7844,13
2013-12-19 02:32:00,US,7845,12
2013-12-19 02:32:00,US,7859,12
2013-12-19 02:32:00,US,8423,8
2013-12-19 02:32:00,US,8506,8
2013-12-19 02:32:00,US,8593,9
2013-12-19 02:32:00,US,10052,8
2013-12-19 02:32:00,US,10077,12
2013-12-19 02:33:00,AR,7844,1
2013-12-19 02:33:00,AR,7845,1
2013-12-19 02:33:00,AR,7859,2
2013-12-19 02:33:00,AR,8506,2
2013-12-19 02:33:00,AR,10052,2
2013-12-19 02:33:00,AR,10077,1
2013-12-19 02:33:00,AU,7845,1
2013-12-19 02:33:00,AU,8506,2
2013-12-19 02:33:00,AU,8593,1
2013-12-19 02:33:00,AU,10077,1
2013-12-19 02:33:00,BG,7844,1
2013-12-19 02:33:00,BG,7845,1
2013-12-19 02:33:00,BG,7859,1
2013-12-19 02:33:00,BG,8423,1
2013-12-19 02:33:00,BG,8506,1
2013-12-19 02:33:00,BG,10052,1
2013-12-19 02:33:00,BG,10077,1
2013-12-19 02:33:00,BR,7845,1
2013-12-19 02:33:00,BR,7859,1
2013-12-19 02:33:00,BR,8423,1
2013-12-19 02:33:00,BR,8506,1
2013-12-19 02:33:00,BR,8593,1
2013-12-19 02:33:00,BR,10052,1
2013-12-19 02:33:00,BR,10077,1
2013-12-19 02:33:00,CA,7844,3
2013-12-19 02:33:00,CA,7845,3
2013-12-19 02:33:00,CA,7859,3
2013-12-19 02:33:00,CA,8423,2
2013-12-19 02:33:00,CA,8506,1
2013-12-19 02:33:00,CA,8593,2
2013-12-19 02:33:00,CA,10052,4
2013-12-19 02:33:00,CA,10077,2
2013-12-19 02:33:00,DE,7844,1
2013-12-19 02:33:00,DE,7845,1
2013-12-19 02:33:00,DE,7859,1
2013-12-19 02:33:00,DE,8423,1
2013-12-19 02:33:00,DE,8593,1
2013-12-19 02:33:00,DE,10052,1
2013-12-19 02:33:00,GB,7844,1
2013-12-19 02:33:00,GB,8593,1
2013-12-19 02:33:00,GB,10052,1
2013-12-19 02:33:00,ID,7845,1
2013-12-19 02:33:00,ID,7859,1
2013-12-19 02:33:00,ID,8423,1
2013-12-19 02:33:00,ID,8506,1
2013-12-19 02:33:00,ID,8593,1
2013-12-19 02:33:00,ID,10077,1
2013-12-19 02:33:00,IT,10052,1
2013-12-19 02:33:00,JM,7844,1
2013-12-19 02:33:00,JM,7845,1
2013-12-19 02:33:00,JM,8423,1
2013-12-19 02:33:00,JM,8506,1
2013-12-19 02:33:00,JM,8593,1
2013-12-19 02:33:00,JM,10052,1
2013-12-19 02:33:00,RU,8506,1
2013-12-19 02:33:00,RU,10052,1
2013-12-19 02:33:00,RU,10077,1
2013-12-19 02:33:00,SI,7844,1
2013-12-19 02:33:00,SI,8506,1
2013-12-19 02:33:00,SI,8593,1
2013-12-19 02:33:00,SI,10052,1
2013-12-19 02:33:00,SI,10077,1
2013-12-19 02:33:00,US,7844,17
2013-12-19 02:33:00,US,7845,18
2013-12-19 02:33:00,US,7859,19
2013-12-19 02:33:00,US,8423,13
2013-12-19 02:33:00,US,8506,15
2013-12-19 02:33:00,US,8593,17
2013-12-19 02:33:00,US,10052,17
2013-12-19 02:33:00,US,10077,15
2013-12-19 02:34:00,AR,7844,3
2013-12-19 02:34:00,AR,7845,1
2013-12-19 02:34:00,AR,7859,4
2013-12-19 02:34:00,AR,8423,2
2013-12-19 02:34:00,AR,8506,3
2013-12-19 02:34:00,AR,8593,4
2013-12-19 02:34:00,AR,10052,3
2013-12-19 02:34:00,AR,10077,2
2013-12-19 02:34:00,BG,7845,1
2013-12-19 02:34:00,BY,7844,1
2013-12-19 02:34:00,BY,7859,1
2013-12-19 02:34:00,BY,8423,1
2013-12-19 02:34:00,BY,8593,1
2013-12-19 02:34:00,BY,10052,1
2013-12-19 02:34:00,BY,10077,1
2013-12-19 02:34:00,CA,7844,7
2013-12-19 02:34:00,CA,7845,5
2013-12-19 02:34:00,CA,7859,7
2013-12-19 02:34:00,CA,8423,5
2013-12-19 02:34:00,CA,8506,4
2013-12-19 02:34:00,CA,8593,7
2013-12-19 02:34:00,CA,10052,3
2013-12-19 02:34:00,CA,10077,8
2013-12-19 02:34:00,FR,7844,1
2013-12-19 02:34:00,FR,7845,1
2013-12-19 02:34:00,FR,8506,1
2013-12-19 02:34:00,FR,8593,1
2013-12-19 02:34:00,GB,7844,1
2013-12-19 02:34:00,GB,7845,1
2013-12-19 02:34:00,GB,8423,2
2013-12-19 02:34:00,GB,8506,2
2013-12-19 02:34:00,GB,8593,1
2013-12-19 02:34:00,GB,10052,1
2013-12-19 02:34:00,GB,10077,1
2013-12-19 02:34:00,IT,7844,2
2013-12-19 02:34:00,IT,7845,2
2013-12-19 02:34:00,IT,7859,3
2013-12-19 02:34:00,IT,8423,2
2013-12-19 02:34:00,IT,8506,3
2013-12-19 02:34:00,IT,8593,3
2013-12-19 02:34:00,IT,10052,1
2013-12-19 02:34:00,IT,10077,3
2013-12-19 02:34:00,JM,7844,2
2013-12-19 02:34:00,JM,7845,2
2013-12-19 02:34:00,JM,7859,2
2013-12-19 02:34:00,JM,8423,2
2013-12-19 02:34:00,JM,8506,2
2013-12-19 02:34:00,JM,8593,2
2013-12-19 02:34:00,JM,10052,2
2013-12-19 02:34:00,JM,10077,2
2013-12-19 02:34:00,NO,7844,1
2013-12-19 02:34:00,NO,7845,1
2013-12-19 02:34:00,NO,7859,1
2013-12-19 02:34:00,NO,8423,1
2013-12-19 02:34:00,NO,8593,1
2013-12-19 02:34:00,NO,10052,1
2013-12-19 02:34:00,RU,7844,4
2013-12-19 02:34:00,RU,7845,3
2013-12-19 02:34:00,RU,7859,1
2013-12-19 02:34:00,RU,8423,1
2013-12-19 02:34:00,RU,8506,1
2013-12-19 02:34:00,RU,8593,1
2013-12-19 02:34:00,RU,10052,2
2013-12-19 02:34:00,RU,10077,2
2013-12-19 02:34:00,SI,7844,1
2013-12-19 02:34:00,SI,7845,1
2013-12-19 02:34:00,SI,7859,1
2013-12-19 02:34:00,SI,8423,1
2013-12-19 02:34:00,SI,8506,1
2013-12-19 02:34:00,SI,8593,1
2013-12-19 02:34:00,SI,10052,1
2013-12-19 02:34:00,SI,10077,1
2013-12-19 02:34:00,US,7844,12
2013-12-19 02:34:00,US,7845,9
2013-12-19 02:34:00,US,7859,14
2013-12-19 02:34:00,US,8423,16
2013-12-19 02:34:00,US,8506,15
2013-12-19 02:34:00,US,8593,15
2013-12-19 02:34:00,US,10052,17
2013-12-19 02:34:00,US,10077,15
2013-12-19 02:35:00,A1,7844,2
2013-12-19 02:35:00,A1,7845,2
2013-12-19 02:35:00,A1,7859,2
2013-12-19 02:35:00,A1,8506,1
2013-12-19 02:35:00,A1,8593,1
2013-12-19 02:35:00,A1,10052,2
2013-12-19 02:35:00,A1,10077,2
2013-12-19 02:35:00,AR,7845,1
2013-12-19 02:35:00,AR,8423,1
2013-12-19 02:35:00,AR,8593,1
2013-12-19 02:35:00,AU,7844,1
2013-12-19 02:35:00,AU,7859,1
2013-12-19 02:35:00,AU,8593,1
2013-12-19 02:35:00,AU,10052,1
2013-12-19 02:35:00,AU,10077,1
2013-12-19 02:35:00,BG,7844,1
2013-12-19 02:35:00,BG,7845,1
2013-12-19 02:35:00,BG,7859,1
2013-12-19 02:35:00,BG,8423,1
2013-12-19 02:35:00,BG,8506,1
2013-12-19 02:35:00,BG,8593,1
2013-12-19 02:35:00,BG,10052,1
2013-12-19 02:35:00,BG,10077,1
2013-12-19 02:35:00,BN,7844,1
2013-12-19 02:35:00,BN,7859,1
2013-12-19 02:35:00,BN,8423,1
2013-12-19 02:35:00,BN,8506,1
2013-12-19 02:35:00,BN,8593,1
2013-12-19 02:35:00,BN,10052,1
2013-12-19 02:35:00,BN,10077,1
2013-12-19 02:35:00,BR,7844,1
2013-12-19 02:35:00,BR,7845,1
2013-12-19 02:35:00,BR,7859,1
2013-12-19 02:35:00,BR,8423,1
2013-12-19 02:35:00,BR,8506,1
2013-12-19 02:35:00,BR,8593,1
2013-12-19 02:35:00,BR,10052,1
2013-12-19 02:35:00,BR,10077,1
2013-12-19 02:35:00,CA,7844,11
2013-12-19 02:35:00,CA,7845,15
2013-12-19 02:35:00,CA,7859,11
2013-12-19 02:35:00,CA,8423,15
2013-12-19 02:35:00,CA,8506,16
2013-12-19 02:35:00,CA,8593,12
2013-12-19 02:35:00,CA,10052,14
2013-12-19 02:35:00,CA,10077,11
2013-12-19 02:35:00,DE,7844,1
2013-12-19 02:35:00,DE,7845,1
2013-12-19 02:35:00,DE,7859,1
2013-12-19 02:35:00,DE,8423,1
2013-12-19 02:35:00,DE,8506,1
2013-12-19 02:35:00,DE,8593,1
2013-12-19 02:35:00,DE,10052,1
2013-12-19 02:35:00,DE,10077,1
2013-12-19 02:35:00,FR,7844,2
2013-12-19 02:35:00,FR,7845,2
2013-12-19 02:35:00,FR,7859,2
2013-12-19 02:35:00,FR,8423,1
2013-12-19 02:35:00,FR,8506,2
2013-12-19 02:35:00,FR,8593,2
2013-12-19 02:35:00,FR,10052,2
